,Tweets,Cleaned_Tweets
14,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
15,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
16,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
17,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW"
18,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW"
19,If only electricity can be generated from religious hatred @narendramodi would’ve made India the sustainable energy capital of the world! #PowerCut #PowerShortageInIndia https://t.co/7GUDgv5RWF,If only electricity can be generated from religious hatred narendramodi would’ve made India the sustainable energy capital of the world!   
20,"#PowerShortageInIndia
Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake.","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake."
21,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
22,"when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!
#PowerShortageInIndia","when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!"
23,"Maharashtra: Power outage in pocket.Failure of Modi Govt!
#PowerShortageInIndia",Maharashtra: Power outage in pocket.Failure of Modi Govt!
24,"when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!
#PowerShortageInIndia","when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!"
25,"Power crisis likely to worsen in as many as 12 states due to low coal stocks
#PowerShortageInIndia",Power crisis likely to worsen in as many as 12 states due to low coal stocks
26,"India is in darkness... The BJP is falsely propagating that India is bright
#PowerShortageInIndia",India is in darkness... The BJP is falsely propagating that India is bright
27,"Parts of rural areas as well as Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited  that cover all five districts of Nashik division are facing load-shedding, forcing citizens, to stage an agitation.Failure of Modi Govt!
#PowerShortageInIndia","Parts of rural areas as well as Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited  that cover all five districts of Nashik division are facing load-shedding, forcing citizens, to stage an agitation.Failure of Modi Govt!"
28,"Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!
#PowerShortageInIndia","Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!"
29,"#PowerShortageInIndia
India is in danger of sinking into darkness due to the Modi government's negligence!

https://t.co/CPbMtq2Qsj

#PowerShortageInIndia",India is in danger of sinking into darkness due to the Modi government's negligence!
30,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
31,"India is in danger of sinking into darkness due to the Modi government's negligence!
#PowerShortageInIndia",India is in danger of sinking into darkness due to the Modi government's negligence!
32,"Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright
#PowerShortageInIndia","Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright"
33,"Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
#PowerShortageInIndia",Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
34,"@CTR_Nirmalkumar Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each.
#PowerShortageInIndia","CTR_Nirmalkumar Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each."
35,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP"
36,"Parts of rural areas as well as Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited that cover all five districts of Nashik division are facing load-shedding, forcing citizens, to stage an agitation.Failure of Modi Govt!
#PowerShortageInIndia","Parts of rural areas as well as Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited that cover all five districts of Nashik division are facing load-shedding, forcing citizens, to stage an agitation.Failure of Modi Govt!"
37,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
38,"@CTR_Nirmalkumar India is in darkness... The BJP is falsely propagating that India is bright
#PowerShortageInIndia",CTR_Nirmalkumar India is in darkness... The BJP is falsely propagating that India is bright
39,"Maharashtra: Power outage in pocket.Failure of Modi Govt!
#PowerShortageInIndia",Maharashtra: Power outage in pocket.Failure of Modi Govt!
40,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
41,"Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright
#PowerShortageInIndia","Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright"
42,"Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!
#PowerShortageInIndia","Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!"
43,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia https://t.co/fgys6OMjGn","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt! "
44,"Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
#PowerShortageInIndia",Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
45,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
46,"@CTR_Nirmalkumar Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",CTR_Nirmalkumar Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
47,#PowerShortageInIndia wondering about these tweets finally found the DMK IT wing 😊... To hide #Powercut_Dmk, wondering about these tweets finally found the DMK IT wing 😊... To hide _Dmk
48,"India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
#PowerShortageInIndia",India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
49,"India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
#PowerShortageInIndia",India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
50,"Coal stocks of thermal power plants has fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even 10% mark. Power crisis will lead to closure of SMEs &amp; unemployment rate will go higher which #BJP govt is hiding as of now.
#PowerShortageInIndia","Coal stocks of thermal power plants has fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even 10% mark. Power crisis will lead to closure of SMEs &amp; unemployment rate will go higher which  govt is hiding as of now."
51,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
52,"Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!
#PowerShortageInIndia","Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!"
53,"Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright
#PowerShortageInIndia","Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright"
54,"India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
#PowerShortageInIndia",India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
55,"Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!
#PowerShortageInIndia","Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!"
56,"@news7tamil @narendramodi Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","news7tamil narendramodi Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
57,"Parts of rural areas as well as Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited (MESDCL) that cover all five districts of Nashik division are facing load-shedding, forcing citizens, tostageanagitationFailureofModiGovt!
#PowerShortageInIndia","Parts of rural areas as well as Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited (MESDCL) that cover all five districts of Nashik division are facing load-shedding, forcing citizens, tostageanagitationFailureofModiGovt!"
58,"Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!
#PowerShortageInIndia","Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!"
59,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
60,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement "
61,"Maharashtra: Power outage in pocket.Failure of Modi Govt!
#PowerShortageInIndia",Maharashtra: Power outage in pocket.Failure of Modi Govt!
62,"Maharashtra: Power outage in pocket.Failure of Modi Govt!
#PowerShortageInIndia",Maharashtra: Power outage in pocket.Failure of Modi Govt!
63,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
64,"Failure of Modi Govt!

India suffering from a severe Power Shortage due to a coal shortage!

Industries and households are affected bigger!

#PowerShortageInIndia",Failure of Modi Govt!India suffering from a severe Power Shortage due to a coal shortage!Industries and households are affected bigger!
65,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
66,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
67,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
68,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
69,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
70,"when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!
#PowerShortageInIndia","when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!"
71,"when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!
#PowerShortageInIndia","when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!"
72,"BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously.
#PowerShortageInIndia","BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously."
73,"Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
#PowerShortageInIndia",Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
74,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
75,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
76,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
77,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
78,"Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!
#PowerShortageInIndia","Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!"
79,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia
#PowerShortageInIndia https://t.co/3btFWjYud8","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW "
80,"#PowerShortageInIndia
BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously.
#PowerShortageInIndia","BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously."
81,"#PowerShortageInIndia
Failure #modi
creates
Power Failure
#PowerShortageInIndia https://t.co/ZR72S1MkoH",Failure createsPower Failure 
82,"The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis
#PowerShortageInIndia","The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis"
83,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
84,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP"
85,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
86,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia
#PowerShortageInIndia https://t.co/lDYeJMdKNc","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement  "
87,"India is in darkness... The BJP is falsely propagating that India is bright
#PowerShortageInIndia",India is in darkness... The BJP is falsely propagating that India is bright
88,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP"
89,"Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each.
#PowerShortageInIndia","Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each."
90,"DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
#PowerShortageInIndia",DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
91,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
92,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
93,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia
#PowerShortageInIndia https://t.co/22M6ebShRe","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP "
94,"The Bokaro Chamber of Commerce and Industries said it will write an open letter 2 CM Hemant Soren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of Modi Govt
#PowerShortageInIndia",The Bokaro Chamber of Commerce and Industries said it will write an open letter 2 CM Hemant Soren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of Modi Govt
95,"The MSEDCL statement said there is a record demand for over 28,000 MW of power, which is about 4,000 MW higher than last year’s due to mismanagement of the BJP
#PowerShortageInIndia","The MSEDCL statement said there is a record demand for over 28,000 MW of power, which is about 4,000 MW higher than last year’s due to mismanagement of the BJP"
96,"The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis
#PowerShortageInIndia","The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis"
97,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
98,"The Bokaro Chamber of Commerce and Industries said it will write an open letter to CM HemantSoren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of Modi Govt!
#PowerShortageInIndia",The Bokaro Chamber of Commerce and Industries said it will write an open letter to CM HemantSoren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of Modi Govt!
99,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW"
